Season,Division,P,W,D,L,F,A,Pts,Pos,FA Cup,League Cup,Community Shield,Champions League,Europa League,Cup Winners' Cup,Super Cup,Club World Cup,Name,Goals
Season,League,League,League,League,League,League,League,League,League,FA Cup,League Cup,Community Shield,Champions League,Europa League,Cup Winners' Cup,Super Cup,Club World Cup,Top scorer,Top scorer
1892–93,Lancs ↑,22,17,2,3,66,19,36,1st,QR3,& —,& —,& —,& —,& —,& —,& —,John Miller,27
1893–94,Division 2 ↑,28,22,6,0,77,18,50,1st[C],R3,& —,& —,& —,& —,& —,& —,& —,James Stott,14
1894–95,Division 1 ↓,30,7,8,15,51,70,22,16th[D],R2,& —,& —,& —,& —,& —,& —,& —,Thomas Bradshaw,18
1895–96,Division 2 ↑,30,22,2,6,106,32,46,1st[E],R2,& —,& —,& —,& —,& —,& —,& —,George Allan,29
1896–97,Division 1,30,12,9,9,46,38,33,5th,SF,& —,& —,& —,& —,& —,& —,& —,George Allan,18
1897–98,Division 1,30,11,6,13,48,45,28,9th,R3,& —,& —,& —,& —,& —,& —,& —,Frank Becton,13
1898–99,Division 1,34,19,5,10,49,33,43,2nd,SF,& —,& —,& —,& —,& —,& —,& —,Hugh Morgan,13
1899–1900,Division 1,34,14,5,15,49,45,33,10th,R2,& —,& —,& —,& —,& —,& —,& —,Tom Robertson  John Walker,10
1900–01,Division 1,34,19,7,8,59,35,45,1st,R1,& —,& —,& —,& —,& —,& —,& —,Sam Raybould,18
1901–02,Division 1,34,10,12,12,42,38,32,11th,R2,& —,& —,& —,& —,& —,& —,& —,Sam Raybould,18
1902–03,Division 1,34,17,4,13,68,49,38,5th,R1,& —,& —,& —,& —,& —,& —,& —,Sam Raybould[F],32 ♦
1903–04,Division 1 ↓,34,9,8,17,49,62,26,17th,R1,& —,& —,& —,& —,& —,& —,& —,Jack Cox,9
1904–05,Division 2 ↑,34,27,4,3,93,25,58,1st,R1,& —,& —,& —,& —,& —,& —,& —,Robbie Robinson,23
1905–06,Division 1,38,23,5,10,79,46,51,1st,SF,& —,& —,& —,& —,& —,& —,& —,Joe Hewitt,27
